,Open,High,Low,Close,Adj Close,Volume
2021-09-23,150.0,150.84980763667295,149.13644627630953,150.0,150.0,789443
2021-09-24,155.63135832620915,156.8473233944457,155.51383728828802,155.63135832620915,155.63135832620915,694168
2021-09-25,157.64762208147158,158.33001814262582,156.68491335793033,157.64762208147158,157.64762208147158,1046559
2021-09-26,151.61250935437732,151.66884293139503,151.01401054864613,151.61250935437732,151.61250935437732,1242004
2021-09-27,144.5468782865525,145.23012104183795,143.44717699850938,144.5468782865525,144.5468782865525,741329
2021-09-28,142.63307514667412,142.70237527717606,142.54675274235055,142.63307514667412,142.63307514667412,1367834
2021-09-29,147.6330294007613,148.22874039531231,147.11417141561265,147.6330294007613,147.6330294007613,924023
2021-09-30,144.24559663460164,144.59686501911284,143.8925098576546,144.24559663460164,144.24559663460164,911482
2021-10-01,153.11082058221407,154.531446722474,152.92542287715514,153.11082058221407,153.11082058221407,772270
2021-10-02,149.83769894623651,150.64369346185163,148.34403457645107,149.83769894623651,149.83769894623651,596319
2021-10-03,144.52604034706175,145.7410518590756,143.73662200109098,144.52604034706175,144.52604034706175,1201278
2021-10-04,143.03315329864378,143.1099317439837,142.6361976661397,143.03315329864378,143.03315329864378,911225
2021-10-05,137.5808985374313,138.3162031540466,136.90992402094045,137.5808985374313,137.5808985374313,311168
2021-10-06,137.28716005281402,137.38356232803844,136.6287858332457,137.28716005281402,137.28716005281402,963791
2021-10-07,141.00449382638968,141.15052436895218,139.70811925346763,141.00449382638968,141.00449382638968,906923
2021-10-08,137.8990020572309,138.59614674179664,137.42414812776087,137.8990020572309,137.8990020572309,755931
2021-10-09,139.56538156324174,139.73092471891093,138.81790736084642,139.56538156324174,139.56538156324174,888466
2021-10-10,134.33166784120343,134.3741245389547,134.03707704418272,134.33166784120343,134.33166784120343,148552
2021-10-11,130.08635643133496,130.29157088141233,128.42655353072973,130.08635643133496,130.08635643133496,1322953
2021-10-12,129.89789414861406,130.35656243926434,129.18363445244557,129.89789414861406,129.89789414861406,1302467
2021-10-13,132.20502841965867,132.5928246787092,132.06752394948964,132.20502841965867,132.20502841965867,885605
2021-10-14,133.10420823555802,133.52115263579515,133.00705364682662,133.10420823555802,133.10420823555802,485148
2021-10-15,130.56631451509145,131.5303610400763,130.39774739876438,130.56631451509145,130.56631451509145,939627
2021-10-16,135.76786593255585,135.81930087961908,135.20397680375976,135.76786593255585,135.76786593255585,815032
2021-10-17,135.58179292527393,135.70663524850494,135.54129126157173,135.58179292527393,135.58179292527393,959257
2021-10-18,134.60159600982695,135.56351514874407,134.46939098693997,134.60159600982695,134.60159600982695,461927
2021-10-19,133.24172311566818,134.17080979338124,133.07115208851297,133.24172311566818,133.24172311566818,1246065
2021-10-20,128.6978537643251,129.26220168712774,128.25135259084365,128.6978537643251,128.6978537643251,1451832
2021-10-21,129.69488620598338,130.1408578429464,129.4295424220677,129.69488620598338,129.69488620598338,1345595
2021-10-22,132.4419701272472,132.4918282577794,131.4795078687263,132.4419701272472,132.4419701272472,936711
2021-10-23,134.9449158921297,135.4470054276547,134.61700716868967,134.9449158921297,134.9449158921297,780107
2021-10-24,136.37996061221256,136.46376124028228,135.951800497273,136.37996061221256,136.37996061221256,888968
2021-10-25,137.5029134690294,138.03473012191142,136.79361232966912,137.5029134690294,137.5029134690294,667323
2021-10-26,140.79424097688937,140.86887354398706,140.2779288417599,140.79424097688937,140.79424097688937,960240
2021-10-27,148.01959158552327,148.1113434649304,147.70248046258072,148.01959158552327,148.01959158552327,804625
2021-10-28,148.4480729124489,148.51605874568264,148.07112319456056,148.4480729124489,148.4480729124489,648443
2021-10-29,150.84212964523581,151.05151878949704,150.60666367900765,150.84212964523581,150.84212964523581,1126204
2021-10-30,149.652649935481,149.91541404604135,148.86577097749338,149.652649935481,149.652649935481,654463
2021-10-31,150.93742650716615,151.21069065205532,150.81825700812166,150.93742650716615,150.93742650716615,919423
2021-11-01,157.52924504797738,157.8189860337387,157.38912504137105,157.52924504797738,157.52924504797738,1427632
2021-11-02,161.91365417223528,161.99486687649232,161.0723547778196,161.91365417223528,161.91365417223528,562033
2021-11-03,162.28872104552661,162.70934544545204,161.38249793835206,162.28872104552661,162.28872104552661,900288
2021-11-04,155.06313874767724,155.30614851976935,154.06650482701406,155.06313874767724,155.06313874767724,637150
2021-11-05,159.03966052237962,159.26365438491325,157.88621998126547,159.03966052237962,159.03966052237962,991516
2021-11-06,160.61876309531573,160.76586216887856,159.83714356465052,160.61876309531573,160.61876309531573,1634086
2021-11-07,161.67363248460475,161.8019487145693,161.16489807942654,161.67363248460475,161.67363248460475,878410
2021-11-08,168.24656340996313,169.4247869770982,167.57079813782127,168.24656340996313,168.24656340996313,898745
