,Open,High,Low,Close,Adj Close,Volume
2021-09-23,130.0,130.35468728977918,128.8967480114445,130.0,130.0,549675
2021-09-24,133.63462202766627,134.48155520176172,133.31231989130004,133.63462202766627,133.63462202766627,972747
2021-09-25,133.42582113896714,133.75370335361916,133.2587996775543,133.42582113896714,133.42582113896714,662564
2021-09-26,132.1233147130112,132.58920520030006,131.76120927441156,132.1233147130112,132.1233147130112,763685
2021-09-27,131.74553710007766,131.8693477622401,131.4763834643301,131.74553710007766,131.74553710007766,1358517
2021-09-28,133.36278439122074,133.9294945661297,132.59580843927736,133.36278439122074,133.36278439122074,1180836
2021-09-29,134.02970207124753,134.41937306121383,133.37840901841025,134.02970207124753,134.02970207124753,588614
2021-09-30,136.00263184856004,136.33443874751336,135.26897150175031,136.00263184856004,136.00263184856004,574001
2021-10-01,132.09491111216323,132.6701145381208,131.67882914343716,132.09491111216323,132.09491111216323,1399381
2021-10-02,135.40539412506413,135.4435055763863,135.23723614990624,135.40539412506413,135.40539412506413,365300
2021-10-03,135.69682988165303,135.96610885107665,134.53952121629467,135.69682988165303,135.69682988165303,1223479
2021-10-04,134.99414963583968,135.49620225619438,134.68869567505567,134.99414963583968,134.99414963583968,1699180
2021-10-05,135.04935892476362,135.15208303217065,135.00400754304383,135.04935892476362,135.04935892476362,628683
2021-10-06,134.9190386865092,135.36377090942304,133.01516747702377,134.9190386865092,134.9190386865092,956938
2021-10-07,136.22764595542333,136.47752948604892,136.04039229087107,136.22764595542333,136.22764595542333,998944
2021-10-08,140.93697849252408,140.9713263112304,140.6194973263486,140.93697849252408,140.93697849252408,1288095
2021-10-09,136.5206867393557,136.73049792582754,136.17464677351714,136.5206867393557,136.5206867393557,1526489
2021-10-10,136.84191065945507,137.43990317500325,136.52961305910472,136.84191065945507,136.84191065945507,1296230
2021-10-11,135.94243056944777,137.15047139439181,135.39414805029088,135.94243056944777,135.94243056944777,569823
2021-10-12,136.53247988917437,137.6463521815939,136.20622907447105,136.53247988917437,136.53247988917437,1127382
2021-10-13,132.80972535476263,133.3155689532253,131.63629667051052,132.80972535476263,132.80972535476263,969917
2021-10-14,130.87527518955898,131.55024740101575,129.95236838690457,130.87527518955898,130.87527518955898,1176938
2021-10-15,131.29212171338423,131.86733896841307,130.36319322490263,131.29212171338423,131.29212171338423,848007
2021-10-16,127.21675552761631,127.79540531803485,126.75359580800658,127.21675552761631,127.21675552761631,973968
2021-10-17,123.492749465919,124.27063040828219,123.11681301966479,123.492749465919,123.492749465919,1764394
2021-10-18,120.7833494231711,120.93394490423195,119.76483482136925,120.7833494231711,120.7833494231711,1175111
2021-10-19,119.82570135488564,120.22539772075623,119.23806839308894,119.82570135488564,119.82570135488564,1164486
2021-10-20,122.87421734762302,123.4567876455989,122.4969843006244,122.87421734762302,122.87421734762302,618016
2021-10-21,119.35199830154392,119.54921272185159,119.16097408421408,119.35199830154392,119.35199830154392,1277070
2021-10-22,118.71147294980567,120.00684049184905,118.37834156599307,118.71147294980567,118.71147294980567,1539588
2021-10-23,114.96513654338814,115.78342184679391,114.40023170414574,114.96513654338814,114.96513654338814,720313
2021-10-24,114.55543291359113,115.18351146348533,113.71147217200087,114.55543291359113,114.55543291359113,663320
2021-10-25,114.17147621795372,115.01641610661905,114.12063114993998,114.17147621795372,114.17147621795372,600183
2021-10-26,114.81149623884643,115.28148338210467,114.65119915479397,114.81149623884643,114.81149623884643,1113519
2021-10-27,119.13952008844991,119.96759462308502,119.08730638014939,119.13952008844991,119.13952008844991,1230009
2021-10-28,121.38372986121739,121.56929860636086,121.32861678447283,121.38372986121739,121.38372986121739,898194
